file,size_mb
aspect_product_summary.parquet,0.073
aspect_summary.parquet,0.004
claim_experience.parquet,0.038
complaint_monthly.parquet,0.065
data_quality.csv,0.0
emerging_issues.parquet,0.009
monthly_trend.parquet,0.01
nlp_sentiment_sample.parquet,0.254
nlp_validation.json,0.0
overview.json,0.0
pipeline_metrics.json,0.001
product_monthly.parquet,0.198
product_summary.parquet,0.193
representative_reviews.parquet,1.553
risk_scores.parquet,0.222
spark_benchmark.csv,0.0
subcategory_summary.parquet,0.007
